Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336615	Xanthomonas_campestris	28.36014211185158	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336620	Brevundimonas_diminuta	19.46071991106488	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Chryseobacterium_taklimakanense	8.7560298652416	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Cutibacterium_acnes	0.6960997217080078	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Dermacoccus_nishinomiyaensis	0.02822358999134805	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Gordonia_bronchialis	0.01737784361912696	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Janibacter_indicus	0.31532775106054145	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Micrococcus_luteus	34.09976607697029	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Minor/Unclassified	27.78088634397284	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Moraxella_osloensis	8.71030518451326	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336620	Xanthomonas_campestris	0.13526371185809818	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336622	Brevundimonas_diminuta	0.8221817609979482	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Chryseobacterium_taklimakanense	0.6356538329641931	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Cutibacterium_acnes	1.2803072358436764	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Dermacoccus_nishinomiyaensis	0.0283249621544402	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Gordonia_bronchialis	0.03173532549076076	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Janibacter_indicus	0.33497346547859713	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Micrococcus_luteus	20.048105069505095	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Minor/Unclassified	40.722864402059095	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Moraxella_osloensis	4.059942819574728	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336622	Xanthomonas_campestris	32.035911125931456	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336627	Brevundimonas_diminuta	17.168084317976422	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Chryseobacterium_taklimakanense	9.037757646179047	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Cutibacterium_acnes	1.0646217612410276	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Dermacoccus_nishinomiyaensis	0.02313848382569679	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Gordonia_bronchialis	0.01835988390517246	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Janibacter_indicus	0.32385493847343017	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Micrococcus_luteus	34.18325343849607	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Minor/Unclassified	32.29545496462997	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Moraxella_osloensis	5.609489461091298	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Xanthomonas_campestris	0.2759851041818618	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336634	Brevundimonas_diminuta	15.154900132200575	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
